"ID","Date","Prix","Demande","Reponses","Texte"
"1","Aujourd'hui à 18:09","15€","Location shampouineuse - Brétigny-sur-Orge","5","Bonjour, Besoin shampouineuse ou qql qui le fait pour nettoyage canapé Merci"
"2","Hier à 22:19","15€","Louer une shampouineuse - Paris","3","Bonjour, Je cherche à louer une shampouineuse (pour détacher un matelas) À Paris 10 Ce mardi ou ce mercredi Merci"
"3","Hier à 11:04","15€","Location shampouineuse - Cergy","2","Bonjour, qui aurait une shampouineuse à me louer ?"
"4","23 Ao&ucirc;. à 21:51","40€","Louer une shampouineuse - Paris","5","Bonjour, Je recherche une shampouineuse (et les produits nécessaires avec) pour canapé et tapis pour un jour durant le week-end du 29/30 août 2026. Merci d'avance"
"5","23 Ao&ucirc;. à 19:19","15€","Louer une shampouineuse - Joinville-le-Pont","4","Bonjour, À la recherche Shampouineuse pour nettoyage matelas"
"6","23 Ao&ucirc;. à 18:53","15€","Louer une shampouineuse - Asnières-sur-Seine","5","Bonjour, j'ai besoin de louer une shampouineuse."
"7","23 Ao&ucirc;. à 18:27","15€","Louer une shampouineuse - Saint-Cyr-l'École","4","Bonjour, je cherche une shampouineuse canapé pour location"
"8","23 Ao&ucirc;. à 17:56","10€","Louer une shampouineuse - Puteaux","5","Bonjour, je souhaite louer une shampouineuse de qualité de type Karcher Puzzi 10/1 ou une Bissell pour 2 ou 3 jours. Merci d'avance pour vos propositions."
"9","23 Ao&ucirc;. à 14:56","Non rémunéré <span class=""info_detail_show"" data-tooltip=""Rendez service à votre Voisin ! Répondez en illimité à toutes les demandes non-rémunérées.""> <svg class=""text-green-70 mg-left-xs"" width=""16"" height=""16""> <use href=""https://www.allovoisins.com/dist/frontoffice/assets/sprite-disconnected.b8697258423f33d480fe.svg?649b9be380ffab33cd269fb54c3bd77d#regular-circle-info""></use> </svg>","Prêt shampouineuse - Gennevilliers","7","Bonjour, Je suis potentiellement intéressé par votre shampouineuse et votre nettoyeur haute pression. Quels sont vos tarifs svp ?"
"10","23 Ao&ucirc;. à 14:19","15€","Louer une shampouineuse - Clichy","6","Bonjour, je cherche a louer une shampouineuse pour nettoyer min canapé s'il vous plait"
"11","23 Ao&ucirc;. à 13:54","15€","Location shampouineuse - Saint-Brice-sous-Forêt","4","Bonjour, Je suis à la recherche d'une shampouineuse en location prestation pour nettoyer un tapis de 200x160 cm à saint Brice sous forêt"
"12","23 Ao&ucirc;. à 11:38","15€","Location shampouineuse - Champagne-sur-Oise","4","Bonjour, qui aurait une shampouineuse à me louer ?"
"13","22 Ao&ucirc;. à 13:15","15€","Location shampouineuse - Guyancourt","4","Bonjour, Je souhaite louer une shampouineuse de type Karcher (ou autre marque), pour une journée entière. Idéalement dans le 78, à Guyancourt, Élancourt, voir Trappes...."
"14","22 Ao&ucirc;. à 12:16","15€","Louer une shampouineuse - Athis-Mons","5","Bonjour, je recherche une shampouineuse à louer près de chez moi."
"15","21 Ao&ucirc;. à 22:11","15€","Louer une shampouineuse - Vanves","6","Bonjour, Je souhaiterai louer un appareil comme une Shampouineuse, nettoyeur à vapeur ou injecteur-extracteur pour nettoyer mon canapé Merci d'avance"
"16","21 Ao&ucirc;. à 20:51","15€","Location shampouineuse - Carrières-sur-Seine","5","Bonjour, je souhaite louer une shampouineuse pour canapés Bissel spotclean pro ou Karcher ou Dust and Go... Pouvez vous m'indiquer également s il faut du produit (tablet..."
"17","21 Ao&ucirc;. à 18:04","15€","Louer une shampouineuse - Athis-Mons","5","Bonjour, je cherche une shampouineuse type bissel"
"18","21 Ao&ucirc;. à 17:55","15€","Louer une shampouineuse - Rueil-Malmaison","5","Bonjour, je recherche une shampouineuse sur Rueil-Malmaison ou alentours ! Merci , Juliette"
"19","21 Ao&ucirc;. à 13:52","15€","Louer une shampouineuse - Herblay-sur-Seine","4","Bonjour, je cherche à louer une shampouineuse."
"20","20 Ao&ucirc;. à 19:16","15€","Location shampouineuse - Sartrouville","4","Bonjour, Je cherche à louer une shampouineuse pour nettoyer mon canapé, une après midi ou une matinée, merci d'avance"
