"ID","Page","Date","Prix","Demande","Ville","Reponses","Texte"
"1","1","Aujourd'hui à 18:09","15€","Location shampouineuse - Brétigny-sur-Orge","Brétigny-Sur-Orge - Moinerie Maison Neuve","5","Bonjour, Besoin shampouineuse ou qql qui le fait pour nettoyage canapé Merci"
"2","1","Hier à 22:19","15€","Louer une shampouineuse - Paris","Paris - Porte Saint-Martin 3","3","Bonjour, Je cherche à louer une shampouineuse (pour détacher un matelas) À Paris 10 Ce mardi ou ce mercredi Merci"
"3","1","Hier à 11:04","15€","Location shampouineuse - Cergy","Cergy - Les Terrasses-Axe Majeur-Lauterne","2","Bonjour, qui aurait une shampouineuse à me louer ?"
"4","1","23 Ao. à 21:51","40€","Louer une shampouineuse - Paris","Paris - Bonne Nouvelle 5","5","Bonjour, Je recherche une shampouineuse (et les produits nécessaires avec) pour canapé et tapis pour un jour durant le week-end du 29/30 août 2026. Merci d'avance"
"5","1","23 Ao. à 19:19","15€","Louer une shampouineuse - Joinville-le-Pont","Joinville-Le-Pont - Moutier","4","Bonjour, À la recherche Shampouineuse pour nettoyage matelas"
"6","1","23 Ao. à 18:53","15€","Louer une shampouineuse - Asnières-sur-Seine","Asnières-Sur-Seine - Gresillons Ii","5","Bonjour, j'ai besoin de louer une shampouineuse."
"7","1","23 Ao. à 18:27","15€","Louer une shampouineuse - Saint-Cyr-l'École","Saint-Cyr-L’École - Quartier 3","4","Bonjour, je cherche une shampouineuse canapé pour location"
"8","1","23 Ao. à 17:56","10€","Louer une shampouineuse - Puteaux","Puteaux - Republique 2","5","Bonjour, je souhaite louer une shampouineuse de qualité de type Karcher Puzzi 10/1 ou une Bissell pour 2 ou 3 jours. Merci d'avance pour vos propositions."
"9","1","23 Ao. à 14:56","Non rémunéré","Prêt shampouineuse - Gennevilliers","Gennevilliers - Village Chandon 4","7","Bonjour, Je suis potentiellement intéressé par votre shampouineuse et votre nettoyeur haute pression. Quels sont vos tarifs svp ?"
"10","1","23 Ao. à 14:19","15€","Louer une shampouineuse - Clichy","Clichy - Sanzillon","6","Bonjour, je cherche a louer une shampouineuse pour nettoyer min canapé s'il vous plait"
